varname,groupname,is_derived,adjfactor_type,delay_0,dimensions,value_type,coverage,update_frequency,empty_value,lower_bound,upper_bound,units,data_types,author,birthday,num_comments,description
barra_med_exposure_foodprod,GROUP_barra_med_exposure,0,,0,2D,single,297.0,1.012,,-0.05,0.73,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Food Products
barra_med_exposure_foodret,GROUP_barra_med_exposure,0,,0,2D,single,289.0,1.012,,-0.05,0.36,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Food and Staples Retailing
barra_med_exposure_gasutil,GROUP_barra_med_exposure,0,,0,2D,single,287.0,1.0201612903225807,,-0.0,0.29,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Gas Utilities
barra_med_exposure_growth,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.68,1.48,,Risk,hwang|xzhang,20181219.0,0,Describes return differences of stocks based on their prospects for sales or earnings growth
barra_med_exposure_hltheqp,GROUP_barra_med_exposure,0,,0,2D,single,340.0,1.012,,-0.09,0.96,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Health Care Equipment and Technology
barra_med_exposure_hlthsvcs,GROUP_barra_med_exposure,0,,0,2D,single,310.0,1.012,,-0.02,0.79,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Health Care Providers (non-HMO)
barra_med_exposure_homebldg,GROUP_barra_med_exposure,0,,0,2D,single,241.0,1.0201612903225807,,-0.0,0.66,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Homebuilding
barra_med_exposure_housedur,GROUP_barra_med_exposure,0,,0,2D,single,289.0,1.0368852459016393,,-0.0,0.07,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Household Durables (non-Homebuilding)
barra_med_exposure_indmach,GROUP_barra_med_exposure,0,,0,2D,single,342.0,1.0160642570281124,,-0.02,0.29,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Industrial Machinery
barra_med_exposure_indmom,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-2.81,2.87,,Risk,hwang|xzhang,20181219.0,0,Explains the return differences of stocks based on the performance relative to their GICS sub-industry over the trailing six months
barra_med_exposure_insurnce,GROUP_barra_med_exposure,0,,0,2D,single,302.0,1.012,,-0.02,0.85,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Insurance Brokers and Reinsurance
barra_med_exposure_internet,GROUP_barra_med_exposure,0,,0,2D,single,371.0,1.0079681274900398,,-0.71,0.5,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Internet and Catalog Retail
barra_med_exposure_leisprod,GROUP_barra_med_exposure,0,,0,2D,single,280.0,1.0139797545812583,,-0.02,0.16,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Leisure Products Textiles Apparel and Luxury
barra_med_exposure_leissvcs,GROUP_barra_med_exposure,0,,0,2D,single,304.0,1.0160642570281124,,-0.07,0.43,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Hotels Leisure and Consumer Services
barra_med_exposure_leverage,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-0.59,2.03,,Risk,hwang|xzhang,20181219.0,0,Captures the return differences between high-leverage and low-leverage stocks
barra_med_exposure_lifeins,GROUP_barra_med_exposure,0,,0,2D,single,273.0,1.0160642570281124,,-0.0,0.32,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Life Health and Multi-line Insurance
