Operator,# Args,Tags,Type,Authors,BDay,Description
"tsingh_inc_capacity(input, shsout,close,valids,bcount)",Unary,"Post processing, Cross sectional",global,tsingh,20171208,Cross-sectional operation to increase liquidity for alpha exrpession
"tsingh_group_zscore(input, valids, mygroup, thresh, fill_val)",,"Relative value, Cross sectional",global,tsingh,20171208,Cross-sectional zscore operation based on integer grouping matrix
"tsingh_group_avgcorr(input, valids, mygroup, lookback, fill_val)",,"Relative value, Cross sectional",global,tsingh,20180103,Average correlation of each stock with all other stocks in the mygroup grouping array for lookback period
"cshao_tsingh_ts_eventize_diff(input, degree, pct_thres, delay_days, delay_coef)",Unary,"Time series, Event",global,"cshao, tsingh",20180416,Event operator to capture signal for stocks where the degree diff value is higher than a threshold value
"cshao_tsingh_ts_eventize(input, pct_thres, delay_days, delay_coef)",Unary,"Time series, Event",global,"cshao, tsingh",20180416,Event operator to capture signal for stocks where the return value of input data is higher than a threshold value.
"cshao_tsingh_ts_eventize_ratio(input, x, pct_thres, delay_days, delay_coef)",Unary,Time series,global,"cshao, tsingh",20180416,Event operator to capture signal for stocks where the x degree difference in value when normalized by value x days ago is higher than a threshold value
"yyoo_ts_fill(input1,ndays)",Unary,"Post processing, Time series",global,yyoo,20190401,Fill values up to certain days.
"yyoo_pp_liq(input1,input2,order=1)",Binary,Post processing,global,yyoo,20171206,Improve liquidity and capacity of a signal.
"yyoo_industry_std(input1,industry)",Binary,Cross sectional,global,yyoo,20170829,Calculate the cross-sectional standard deviation of alpha signals for each industry.
"yyoo_hfang_ica_multi([f1, f2, f3])",Multi-input,Combination,global,"yyoo, hfang",20180129,Do independent component analysis for each factor
"yyoo_factor_std(input1,input2,numgroups=10)",Binary,Cross sectional,global,yyoo,20170829,Calculate the cross-sectional standard deviation of alpha signals for each quantile factor.
"yyoo_factor_mean(input1,input2,numgroups=10,weight=1)",Binary,"Relative value, Cross sectional",global,yyoo,20170829,"Calculate the cross-sectional average values of ""input1"" depending on ""input2"" groupings."
"yyoo_decile(input, numgroups)",Unary,"Relative value, Cross sectional",global,yyoo,20170829,"Group stocks into quartiles, deciles, etc."
"yyoo_cs_rank_percentile(input, method)",Unary,"Relative value, Cross sectional",global,yyoo,20170829,Calculate the cross-sectional percentile of values
"yyoo_abansal_stochastic(high, low, close, lookback=20)",,"Technical, Time series",global,yyoo,20171212,Momentum indicator
"yyoo_abansal_obv(close, volume, lookback=20)",,"Technical, Time series",global,yyoo,20171212,Calculate On Balance Volume (OBV)
"yyoo_abansal_aroon(high, low, close, type = ""up"", lookback = 25)",,"Technical, Time series",global,yyoo,20171221,Calculate Aroon indicator
"yyoo_abansal_adx(high, low, close, lookback=14)",,"Technical, Time series",global,yyoo,20171221,Calculate Average Directional Index (ADX)
"yyoo_abansal_adl(close, high, low, volume, lookback=20)",,"Technical, Time series",global,yyoo,20171212,Calculate Accumulation Distribution Line indicator
"fchen_ts_argmax(input, ndays)",Unary,Time series,global,fchen,20171127,Calculate how far away from the date of last max value to now in the past n days and set the output as the relative index of the max value.
"fchen_ts_argmin(input, ndays)",Unary,Time series,global,fchen,20171127,Calculate how far away from the date of last min value to now in the past n days and set the output as the relative index of the min value.
fchen_yl2151_days_since_last_update(input),Unary,Time series,global,"fchen, yl2151",20171208,calculate the number of trading days since the variable last update
"fchen_jzhou_cs_sum_group(input, group)",Binary,"Relative value, Cross sectional",global,"fchen, jzhou",20171208,Compute the sum of input within specific group (e.g. industry or sector)
"fchen_jzhou_cs_zscore_group(input, group)",Binary,"Relative value, Cross sectional",global,"fchen, jzhou",20171208,Compute  cross sectional z-score  of input within specific group (e.g. industry or sector)
"fchen_cs_rank_group(input,group)",Binary,"Relative value, Cross sectional",global,fchen,20180601,Compute  cross sectional rank  of input within specific group (e.g. industry or sector)
"fchen_ts_mean_season(input,lookback, interval)",Unary,"Time series, Seasonal",global,fchen,20180103,Calculate the mean of the specified variable by skipping over a set number of trading days each interval in the specified lookback window
"fchen_ts_std_season(input,lookback, interval)",Unary,"Time series, Seasonal",global,fchen,20180103,Calculate the standard deviation of the specified variable  by skipping over a set number of trading days each interval in the specified lookback window
"fchen_ts_skew_season(input,lookback, interval)",Unary,"Time series, Seasonal",global,fchen,20180103,Calculate the skewness of the specified variable by skipping over a set number of trading days each interval in the specified lookback window
"fchen_yl2151_ts_zscore_season(input,lookback, interval)",Unary,"Time series, Seasonal",global,fchen,20180103,Calculate the  zscore  of the specified variable   by skipping over a set number of trading days each interval in the specified lookback window
"fchen_yl2151_ts_rank_season(input,lookback, interval)",Unary,"Time series, Seasonal",global,fchen,20180103,Calculate the  rank  of the specified variable   by skipping over a set number of trading days each interval in the specified lookback window
"fchen_ts_corr_binary_season(input1,input2,lookback, interval)",Binary,"Time series, Seasonal",global,fchen,20180103,Calculates the stock level correlation of the specified 2 variables by skipping over a set number of trading days each interval in the specified lookback window
"fchen_relation_avg_fast(input,relation,weight,axis = 0)",Binary,"Relative value, Cross sectional",global,fchen,20180830,Calculate the average input value based on certain relatoinship
"fchen_op_multi_relation(input,relation_list,logic = 'or',mode='avg', axis=0)",Multi-input,"Relative value, Cross sectional",global,fchen,20181218,Calculate the average of input value based on multi relatoinships if mode == 'avg'.
"fchen_jhuang_ts_mean_remove_outlier(input,lookback,numofstd)",Unary,"Post processing, Time series",global,"fchen, jhuang_old",20181211,This operator is designed to replace values more than (numofstd * ts_std) away from ts_mean with nan in lookback days then calculate ts_mean.
"fchen_jhuang_ts_mean_remove_max_min(input,lookback)",Unary,"Post processing, Time series",global,"fchen, jhuang_old",20181211,This operator is designed to remove max and min in  lookback days then calculate ts_mean.
"cxi_ts_pcorr_binary(sigA, sigB, sigC, lookback)",Ternary,Time series,global,cxi,20190725,Partial correlation operator
"ywu_ts_bbands(high, low, close, timeperiod=5, nbdevup=2, nbdevdn=2)",,,global,ywu,20190917,This operator calculates Bollinger Bands (BBANDS).
